的	白勹丶
燃	火犬灬
韵	立日勹冫
辖	车宀三口
垫	扌九丶土
衡	彳鱼人亍
耗	耒毛
邱	丘阝
赠	贝丷日
齿	齿
唉	口厶矢
缴	纟白方攵
盾	⺁十目
忽	勿心
凑	冫天
逆	屰辶
廖	广羽人彡
俺	亻大电
钻	钅⺊口
玄	亠幺
眉	尸丨目
迟	尸丶辶
狮	犭一巾
糕	米⺷灬
贡	工贝
丘	丘
柜	木匚
弓	弓
敌	舌攵
抬	扌厶口
驱	马匚乂
惯	忄囗十贝
谓	讠田月
荐	艹丨子
柔	矛木
拨	扌发
翠	羽亠人十
躲	身几木
斜	人于八十
牵	大冖牛
罐	缶艹吅隹
摊	扌又隹
祭	示
巷	龷八巳
踏	水日
督	上小又目
悉	禾丷心
臭	自犬
割	宀三丨刂
娱	女口天
披	扌皮
炉	火户
递	丷弓丨辶
携	扌隹乃
飘	覀示几乂
崇	山宀示
卜	卜
牧	牜攵
袭	龙衣
漂	氵覀示
扒	扌八
瘤	疒丶田
鹅	丿扌戈鸟
肚	月土
衰	衣口一
兆	儿
棉	木白巾
禄	礻彐氺
咋	口丨二
猴	犭亻矢
萍	艹氵干丷
卿	卯彐
筹	三丿寸
跃	丿大
壮	丬士
捧	扌二丨
吊	口巾
粮	米丶彐
奎	大土土
允	厶儿
鲍	鱼勹巳
幻	幺乙
刑	开刂
慎	忄十八
惨	忄厶大彡
灾	宀火
缝	纟夂三辶
裤	衤广车
措	扌龷日
曝	日日龷氺
塑	屰月土
鹤	冖隹鸟
巡	巛辶
涌	氵龴用
戳	羽隹戈
坤	土申
噶	口艹日乙
霞	⻗丨又
贸	丶刀贝
径	彳ス工
阮	阝二儿
扇	户羽
浇	氵⺎
伙	亻火
遂	丷豕辶
裂	歹刂衣
辽	了辶
楠	木十冂干
鉴	金
兄	口儿
翁	八厶羽
芯	艹心
邮	由阝
虑	虍心
宠	宀龙
婆	氵皮女
匹	匚儿
龟	⺈日乙
仿	亻方
裁	十戈衣
拓	扌石
聪	耳丷口心
碑	石白丿十
舌	舌
椒	木上小又
穴	穴
敲	高⺊又
弦	弓亠幺
砂	石少
娶	耳又女
腐	广亻寸肉
婷	女冖丁
趟	走尚
逾	亼月刂辶
箭	丷一刂
琪	王其
遥	爫缶辶
慕	艹日大
芒	艹亡
夸	大二乙
唇	厂二口
狐	犭瓜
阻	阝且
螺	虫田糸
勾	勹厶
缸	缶工
炼	火乙八
讷	讠冂人
励	厂万力
脉	月丶乙
愈	亼月刂心
谋	讠甘木
篮	皿
役	彳几又
拒	扌匚
坪	土干丷
纵	纟人人
贞	⺊贝
浙	氵扌斤
坂	土⺁又
粤	米一乙
抖	扌⺀十
纷	纟八刀
勃	子力
坛	土云
悬	且厶心
址	土止
丙	一冂人
狠	犭彐
渠	氵匚木
呗	口贝
厦	厂丆目夂
侠	亻夫丷
蝶	虫廿乙木
徽	彳山系攵
磊	石石石
勺	勹丶
彻	彳七刀
莹	艹冖王丶
虹	虫工
浸	氵彐冖又
钓	钅勹丶
俗	亻谷
蹲	丷西寸
邪	牙阝
窄	穴丨二
伞	人丷十
筋	月力
贼	贝戈
肿	月中
杉	木彡
盯	目丁
甩	月乙
爹	父夕夕
菇	艹女古
俱	亻八
咯	口夂口
溜	氵丶田
拐	扌口力
系	系
舱	舟人㔾
亨	了
倾	亻匕页
繁	母攵糸
迹	亦辶
吞	天口
宴	宀日女
舟	舟
寨	宀八朩
亩	亠田
睿	⺊冖一目
宪	宀⺧儿
圳	土川
枫	木几乂
氢	气ス工
卧	臣卜
囊	吅
谦	讠丷一
彬	木木彡
旋	方乙龰
郁	月阝
桐	木冂一口
帽	巾曰目
苹	艹干丷
椅	木大丁口
忆	忄乙
荒	艹亡
帆	巾几丶
淑	氵上小又
糯	米⻗而
蚊	虫亠乂
绪	纟耂日
惹	艹口心
廉	广丷一
诊	讠人彡
邹	⺈彐阝
愁	禾火心
滋	氵丷一幺
契	三丨刀大
槽	木艹日日
姑	女古
募	艹日大力
雕	⺆土口隹
哒	口大辶
吻	口勿
蘸	艹西一灬
旦	旦
捐	扌口月
庞	广龙
腔	月穴工
瓷	冫欠瓦
涮	氵尸巾刂
迅	卂辶
敷	甫方攵
撤	扌月攵
勿	勿
恰	忄亼口
瞎	目宀三口
仕	亻士
硫	石
汝	氵女
凶	乂凵
麟	鹿米夕㐄
孤	子瓜
赌	贝耂日
稻	禾爫臼
骏	马厶八夂
勋	口贝力
屈	尸屮凵
坝	土贝
厄	厂㔾
蜂	虫夂三丨
蓉	艹宀谷
掏	扌勹缶
捏	扌日土
帖	巾⺊口
姿	冫欠女
裹	衣日木
臂	尸口立月
扑	扌卜
雯	⻗亠乂
钦	钅欠
咨	冫欠口
栖	木西
忧	忄尢丶
珊	王⺆⺆一
橙	木癶豆
尘	小土
卵	卯丶丶
邻	亽龴阝
逗	豆辶
彼	彳皮
妃	女己
醇	西一子
揭	扌日勹乙
伐	亻戈
荡	艹氵乙丿
循	彳⺁十目
扭	扌乙土
灌	氵艹吅隹
邵	刀口阝
馨	士尸丨日
鳍	鱼耂匕日
侵	亻彐冖又
盲	亡目
潭	氵覀早
壹	士冖豆
辐	车一口田
琼	王小
闷	门心
叠	又又又且
辞	舌立十
茅	艹矛
趁	走人彡
铃	钅亽龴
芽	艹牙
溶	氵宀谷
芙	艹夫
嚼	口爫罒寸
衫	衤彡
垂	千艹二
溢	氵皿
禾	禾
颁	八刀页
斩	车斤
悲	非心
跪	⺈厂㔾
狄	犭火
裔	衣冂八口
妖	女丿大
矮	矢禾女
斋	亠乂而
洒	氵西
藩	艹氵禾田
娇	女丿大
棵	木日木
疏	乙止
钾	钅甲
毫	冖毛
刊	干刂
翅	十又羽
咽	口囗大
磁	石丷一幺
厉	厂万
抑	扌卬
娅	女亚
娟	女口月
株	木丿未
禅	礻丷
奏	天
锌	钅立十
匀	勹冫
弥	弓⺈小
奴	女又
詹	⺈厂八言
昊	日天
淮	氵隹
徒	彳走
於	方人⺀
耍	而女
罕	冖八干
卤	⺊囗乂
梯	木丷弓丿
誉	八言
炫	火亠幺
捕	扌甫
蓬	艹夂三辶
扁	户冂艹
阔	门氵舌
滩	氵又隹
愉	忄亼月刂
啃	口止月
僧	亻丷日
痒	疒羊
俞	亼月刂
滕	月丷夫氺
歪	不一止
遵	丷西一辶
驴	马户
浆	丬夕水
贯	囗十贝
珀	王白
悟	忄五口
赋	贝一弋止
堤	土旦龰
恭	龷八
扮	扌八刀
押	扌甲
雁	厂亻隹
轰	车又又
颂	八厶页
滤	氵虍心
驰	马也
屯	屯
燥	火品木
胺	月宀女
凝	冫匕矢龰
枕	木冖儿
濑	氵木口贝
黛	亻弋黑
攒	扌⺧儿贝
尺	尸丶
览	冂儿
瑶	王爫缶
描	扌艹田
犹	犭尢丶
咖	口力口
援	扌爫二夂
笋	彐丿
氯	气彐氺
薪	艹亲斤
穗	禾心
籽	米子
贪	亽乙贝
琦	王大丁口
锤	钅千艹二
绳	纟口电
酿	西一丶
噢	口米大
虐	虍
纠	纟丩
笨	本
脾	月白丿十
瑜	王亼月刂
梗	木一日乂
氮	气火火
碱	石戌口
渔	氵鱼
袖	衤由
儒	亻⻗而
苯	艹本
霉	⻗母
猎	犭龷日
裸	衤日木
鄂	吅二乙阝
郝	土阝
眠	目民
炳	火一冂人
牢	宀牛
撩	扌大丷小
枣	木冂⺀
纱	纟少
殊	歹丿未
遮	广廿灬辶
糟	米艹日日
聂	耳又又
诞	讠丿廴
惟	忄隹
悠	亻丨攵心
幽	山幺幺
趴	八
矣	厶矢
黏	禾人氺口
冢	冖豕丶
偿	亻冖云
蜀	罒勹虫
媛	女爫二夂
凸	凸
晃	日⺎
帐	巾丿一丶
胞	月勹巳
绑	纟三丿阝
窑	穴缶
妍	女开
劫	土厶力
嗨	口氵母
削	月刂
殷	⺁彐乙又
赐	贝日勿
葡	艹勹甫
桩	木广土
棚	木月月
蛙	虫土土
呐	口冂人
淳	氵子
腺	月白水
霖	⻗木木
闯	门马
靖	立龶月
浴	氵谷
豫	予⺈口
扛	扌工
刃	刀丶
婴	贝贝女
膝	月木人氺
橘	木矛冂口
尧	⺎
倩	亻龶月
艇	舟丿士廴
灿	火山
磷	石米夕㐄
泵	石水
哄	口龷八
腥	月日生
痘	疒豆
崩	山月月
竖	又立
丛	人人一
甫	甫
椰	木耳阝
煌	火白王
歇	日勹人欠
筒	冂一口
渊	氵米
兜	白儿
噪	口品木
邨	屯阝
诱	讠禾乃
剥	彐氺刂
闽	门虫
恤	忄丿皿
葬	艹歹匕廾
翰	十早人羽
焕	火⺈冂大
尸	尸
杏	木口
胀	月丿一丶
苍	艹人㔾
腌	月大电
喔	口尸一土
蒲	艹氵甫
裴	非衣
彤	⺆亠彡
铅	钅几口
揉	扌矛木
扰	扌尢丶
腊	月龷日
乏	丿之
辩	立讠十
雀	小隹
堪	土其乙
泄	氵廿乙
惜	忄龷日
廊	广丶彐阝
辈	非车
嗣	口冂艹口
匙	旦龰匕
喉	口亻矢
矢	矢
泳	氵丶乙
肃	彐小
梓	木立十
钩	钅勹厶
贱	贝戋
奕	亦大
倪	亻臼儿
绣	纟禾乃
栗	覀木
奋	大田
佑	亻口
爪	爪
绵	纟白巾
辨	立十
龚	龙龷八
蹭	丷日
稠	禾⺆土口
萝	艹罒夕
澄	氵癶豆
貌	豸白儿
晖	日冖车
芦	艹户
钠	钅冂人
筛	一巾
抚	扌无
怨	夕㔾心
蔬	艹乙止
铸	钅三丿寸
缠	纟广日土
艰	又彐
屎	尸米
杠	木工
埔	土甫
衍	彳氵亍
簇	方矢
靓	龶月冂儿
塌	土日羽
棕	木宀示
钧	钅勹冫
疆	弓土三田
夕	夕
仰	亻卬
宰	宀立十
薯	艹罒耂日
茹	艹女口
焖	火门心
纬	纟二乙丨
彰	立早彡
喀	口宀夂口
沫	氵末
帘	穴巾
酮	西一冂口
氟	气弓
梳	木
豹	豸勹丶
巢	巛日木
陕	阝夫丷
坠	阝人土
冀	丬匕田八
玻	王皮
翘	⺎羽
熏	千二灬
痰	疒火火
陨	阝口贝
罩	罒⺊早
炭	山火
盼	目八刀
攀	木乂乂手
镁	钅⺷大
搓	扌工
搅	扌⺍冖儿
痕	疒彐
拦	扌丷三
峡	山夫丷
魅	白儿厶未
曦	日⺷禾戈
祠	礻乙一口
汀	氵丁
贬	贝丿之
蠢	日虫虫
丫	丷丨
憋	㡀攵心
岐	山十又
迫	白辶
谜	讠米辶
陀	阝宀匕
谨	讠堇
耕	耒井
皱	⺈彐皮
硅	石土土
刹	乂朩刂
渝	氵亼月刂
履	尸彳夂
叙	人于八又
慌	忄艹亡
磅	石方
厢	厂木目
屡	尸米女
巫	工人人
婉	女宀夕㔾
夷	大弓
饺	饣六乂
茜	艹西
叹	口又
仇	亻九
呵	口丁口
樊	木乂乂大
侍	亻土寸
哀	衣口
匿	匚艹口
撸	扌鱼日
矩	矢匚
秉	禾彐
傲	亻龶勹攵
乖	千丬匕
酯	西一匕日
钉	钅丁
搏	扌甫寸
泼	氵发
玮	王二乙丨
践	戋
釉	禾丷由
葵	艹癶天
鲤	鱼日土
屿	山二乙
芭	艹巴
瓣	立瓜十
喻	口亼月刂
兮	八一乙
煞	⺈彐攵灬
蓄	艹亠幺田
祛	礻土厶
拾	扌亼口
耿	耳火
岚	山几乂
侨	亻丿大
卸	一止卩
恢	忄火
逝	扌斤辶
禹	丿口⽱
鲸	鱼小
凹	凹
窦	穴头
泊	氵白
碘	石冂龷八
蔚	艹尸示寸
藕	艹耒日⽱
咳	口亥
饶	饣⺎
蜡	虫龷日
挨	扌厶矢
茄	艹力口
灶	火土
吼	口子乙
拽	扌日乙丿
缅	纟丆囬
咒	吅几
皓	白⺧口
暑	日耂日
嘎	口丆目戈
菱	艹土八夂
舔	舌天
侦	亻⺊贝
邑	口巴
祸	礻口冂人
椎	木隹
芸	艹云
璐	王夂口
靴	革亻
喽	口米女
屁	尸匕匕
崖	山厂土土
捉	扌足
哩	口日土
斐	非亠乂
捂	扌五口
迦	力口辶
丧	土丷
械	木戈廾
罢	罒土厶
幢	巾立日土
丈	丈
锂	钅日土
矛	矛
掩	扌大电
垒	厶厶厶土
隋	阝工月
爵	爫罒彐寸
寅	宀一由八
芋	艹于
帧	巾⺊贝
桓	木二日
乾	十早乙
脊	人月
哉	十戈口
绒	纟戈
咏	口丶乙
掀	扌斤欠
甸	勹田
喵	口艹田
闵	门亠乂
藻	艹氵品木
糙	米⺧口辶
拱	扌龷八
璃	王㐫禸
匠	匚斤
俏	亻月
昕	日斤
疫	疒几又
妥	爫女
哼	口了
纤	纟千
骚	马又丶虫
拎	扌亽龴
柄	木一冂人
劣	少力
仑	人匕
棘	木冂木冂
梭	木厶八夂
苔	艹厶口
衬	衤寸
阜	十
蕴	艹纟日皿
钛	钅大丶
渗	氵厶大彡
乍	丨二
欺	其欠
戚	戊上小
仗	亻丈
镀	钅广廿又
鸽	亼口鸟
焗	火尸乙口
寇	宀二儿又
滞	氵艹丨巾
邢	开阝
辟	尸口立十
睁	目⺈彐丨
虞	虍口天
揽	扌儿
掘	扌尸屮凵
坟	土亠乂
睛	目龶月
歼	歹千
襄	衣吅
雍	亠乡隹
澜	氵门木
沛	氵一巾
咪	口米
伽	亻力口
镰	钅广丷
瞬	目爫冖㐄
腕	月宀夕㔾
芥	艹人
嘿	口黑
羹	⺷灬⺷大
芹	艹斤
姨	女大弓
礁	石隹灬
呃	口厂㔾
棍	木日匕匕
嵌	山甘欠
氨	气宀女
卑	白丿十
蚁	虫丶乂
泻	氵冖二乙
雌	止匕隹
莓	艹母
庵	广大电
鳞	鱼米夕㐄
渴	氵日勹乙
臀	尸龷八月
屑	尸月
莞	艹宀二儿
澡	氵品木
奢	大耂日
轿	车丿大
晟	日戊乙
铬	钅夂口
阀	门亻戈
淹	氵大电
腓	月非
浊	氵虫
焯	火⺊早
抠	扌匚乂
彪	虍几彡
挪	扌阝
拧	扌宀丁
惑	戈口一心
舜	爫冖夕㐄
牟	厶牛
悔	忄母
寮	宀大丷小
渍	氵龶贝
巾	巾
碍	石旦寸
冉	冂土
狭	犭夫丷
圭	土土
厌	厂犬
佰	亻丆日
檀	木亠回旦
槿	木堇
墩	土子攵
烯	火乂巾
卒	亠人人十
衔	彳钅亍
蹄	巾
炜	火二乙丨
驹	马句
沥	氵厂力
卦	土土卜
沁	氵心
昏	氏日
垣	土二日
掐	扌⺈臼
阎	门⺈臼
旨	匕日
梵	木木几丶
沐	氵木
肇	户攵彐丨
峻	山厶八夂
滇	氵十八
啤	口白丿十
孚	爫子
沼	氵刀口
蹦	山月月
馋	饣免⺀
庸	广彐月丨
疲	疒皮
涩	氵刀丶止
颠	十八页
汶	氵亠乂
庚	广彐人
魁	白儿厶十
嗲	口父夕夕
镶	钅衣吅
荆	艹开刂
荤	艹冖车
遣	㠯辶
蔓	艹日罒又
捅	扌龴用
愚	日⽱心
踪	宀示
棠	尚木
笛	由
翟	羽隹
甄	覀土瓦
霾	⻗豸日土
弊	㡀攵廾
祐	礻口
磕	石土厶皿
酚	西一八刀
懿	士冖豆心
皂	白七
吟	口亽乙
钰	钅王丶
陌	阝丆日
岑	山亽乙
昔	龷日
咩	口羊
硝	石月
闫	门三
麽	麻丿厶
茎	艹ス工
媚	女尸丨目
韧	二乙丨丶
赣	立早夂贝
慰	尸示寸心
狱	犭讠犬
袜	衤末
浑	氵冖车
诈	讠丨二
烙	火夂口
阪	阝⺁又
隶	彐氺
坨	土宀匕
谐	讠匕匕白
瞄	目艹田
祁	礻阝
祀	礻巳
侃	亻口
瑾	王堇
祺	礻其
沸	氵弓
铎	钅又二丨
盏	戋皿
叮	口丁
吏	吏
冶	冫厶口
厝	厂龷日
屠	尸耂日
喘	口山而
锻	钅几又
猿	犭土口
臻	一厶土禾
畔	田丷二丨
殖	歹十
掰	龵八刀手
骤	马耳又乑
茵	艹囗大
姻	女囗大
闸	门甲
绮	纟大丁口
瞧	目隹灬
啡	口非
妞	女乙土
娄	米女
萱	艹宀二日
鳝	鱼羊丷口
酬	西一⺍川
挽	扌免
札	木乙
栈	木戋
雇	户隹
惧	忄八
萄	艹勹缶
笃	马
痣	疒士心
霆	⻗丿士廴
窃	穴七刀
颐	页
蛛	虫丿未
寓	宀日⽱
镍	钅自木
榨	木穴二
喇	口木口刂
绫	纟土八夂
骆	马夂口
唑	口人人土
钞	钅少
撰	扌巳巳八
榕	木宀谷
厕	厂贝刂
鞭	革亻一乂
孰	子九丶
皖	白宀二儿
烘	火龷八
杖	木丈
枯	木古
菁	艹龶月
湛	氵其乙
玫	王攵
痴	疒矢口
焉	一止一灬
楷	木匕匕白
蕨	艹厂屰欠
擅	扌亠回旦
晾	日小
瘾	疒阝⺈心
佬	亻耂匕
厘	厂日土
淫	氵爫丿士
剁	几木刂
莺	艹冖鸟
僵	亻三田田
纺	纟方
卯	卯
碾	石尸龷
淀	氵宀一龰
钵	钅本
氛	气八刀
荫	艹阝月
瞻	目⺈厂言
瀚	氵十早羽
棱	木土八夂
璇	王方龰
毓	母
蕊	艹心心心
唤	口⺈冂大
桦	木亻十
黔	黑亽乙
郊	六乂阝
忒	弋心
秩	禾丿夫
婧	女龶月
呛	口人㔾
弧	弓瓜
挫	扌人人土
畏	田
钥	钅月
琛	王冖八木
栽	十戈木
歧	止十又
寂	宀上小又
嵩	山高
淇	氵其
瑛	王艹冂大
笠	立
驿	马又二丨
懵	忄艹罒目
戊	戊
潇	氵艹彐
垃	土立
谊	讠宀且
馍	饣艹日大
逻	罒夕辶
溃	氵贝
栓	木人王
肋	月力
圾	土乃丶
粪	米龷八
铂	钅白
樟	木立早
瞳	目立日土
劈	尸口立刀
珂	王丁口
峪	山谷
铲	钅立丿
涡	氵口冂人
鸥	匚乂鸟
蛤	虫亼口
鲨	氵少鱼
揍	扌天
羌	乙
硒	石西
萤	艹冖虫
暮	艹日大日
鲷	鱼⺆土口
膳	月羊丷口
剃	丷弓丨刂
旬	勹日
挠	扌⺎
鳄	鱼吅二乙
奸	女干
霄	⻗月
鹭	夂口鸟
锯	钅尸古
肢	月十又
钜	钅匚
飙	犬犬犬乂
扳	扌⺁又
斧	父斤
窜	穴口中
嗜	口耂匕日
拘	扌句
谣	讠爫缶
酪	西一夂口
勉	免力
肘	月寸
髓	骨工辶
褐	衤日勹乙
筱	亻丨攵
剖	立口刂
恕	女口心
戎	戈
荟	艹人云
饵	饣耳
掷	扌丷天阝
宸	宀厂二
柿	木亠巾
觅	爫冂儿
愣	忄罒方
禧	礻壴口
墅	日土予土
锥	钅隹
蝉	虫丷
掺	扌厶大彡
睇	目丷弓丿
搁	扌门夂口
撇	扌㡀攵
昱	日立
晰	日木斤
巍	山禾女厶
嗅	口自犬
焰	火⺈臼
匪	匚非
艮	彐
烹	了灬
倚	亻大丁口
栅	木⺆⺆一
泌	氵必
誓	扌斤言
胁	月力八
盅	中皿
佟	亻夂⺀
擀	扌十早干
怜	忄亽龴
脐	月亠乂
韬	二乙丨臼
嫂	女臼丨又
簿	氵甫寸
焊	火日干
曜	日羽隹
丞	了一
庐	广户
胰	月大弓
恼	忄㐫
晏	日宀女
贩	贝⺁又
埠	土十
羞	乙土
瘫	疒又隹
橡	木⺈口
灼	火勹丶
廓	广子阝
擎	艹句攵手
溅	氵贝戋
琉	王
冥	冖日六
玺	⺈小王丶
躁	品木
坞	土乌
祈	礻斤
烷	火宀二儿
幂	冖日大巾
沧	氵人㔾
汞	工水
俭	亻亼
鲈	鱼⺊尸
瞒	目艹两
蓓	艹亻立口
捆	扌囗木
怖	忄巾
砌	石七刀
埼	土大丁口
矶	石几
呦	口幺力
锈	钅禾乃
芮	艹冂人
饥	饣几
宛	宀夕㔾
啸	口彐小
亥	亥
婕	女一彐龰
衷	衣中
缪	纟羽人彡
寡	宀丆且刀
涯	氵厂土土
捣	扌山
煜	火日立
羡	⺷冫欠
漠	氵艹日大
惩	彳一止心
滥	氵皿
岱	亻弋山
脓	月农
巳	巳
冤	冖兔
漾	氵⺷丶
靶	革巴
洽	氵亼口
舆	⺽车一八
饲	饣乙一口
泷	氵龙
肪	月方
怂	人人心
倡	亻日日
诀	讠人
庇	广匕匕
垮	土大二乙
枢	木匚乂
柚	木由
汛	氵卂
匡	匚王
朔	屰月
秤	禾干丷
瀑	氵日龷氺
灸	丶火
槐	木白儿厶
翡	非羽
咧	口歹刂
诏	讠刀口
粟	覀米
怼	又寸心
蹬	癶豆
仆	亻卜
裘	求衣
薰	艹千灬
袍	衤勹巳
熵	火亠丷口
桔	木士口
柠	木宀丁
榆	木亼月刂
漳	氵立早
诵	讠龴用
醛	西一艹王
藉	艹耒龷日
烨	火亻十
侬	亻农
胤	儿幺月
斥	斤丶
汐	氵夕
烩	火人云
摧	扌山隹
鸦	牙鸟
瞪	目癶豆
骁	马⺎
愤	忄十艹贝
檐	木⺈厂言
遛	丶刀辶
朕	月丷天
嗒	口艹亼口
鞍	革宀女
趾	止
讼	讠八厶
吖	口丷丨
肽	月大丶
胚	月不一
玖	王丶
辱	厂二寸
蚀	饣虫
孜	子攵
逮	彐氺辶
哑	口亚
宙	宀由
赎	贝头
酉	西一
乞	乙
顽	二儿页
钮	钅乙土
绅	纟申
癣	疒鱼羊
巅	山十页
蕉	艹隹灬
踹	山而
璋	王立早
敖	龶勹攵
褚	衤耂日
茗	艹夕口
叛	丷二丿又
苟	艹句
祯	礻⺊贝
寝	宀丬彐又
迭	丿夫辶
蚕	天虫
镑	钅方
傍	亻方
勘	其乙力
凰	几白王
弼	弓丆日弓
悄	忄月
恺	忄山己
巩	工几丶
荔	艹力力力
洼	氵土土
揪	扌禾火
淼	水水水
娥	女丿扌戈
疮	疒人㔾
绞	纟六乂
韶	立日刀口
泣	氵立
庶	广廿灬
肛	月工
泾	氵ス工
蒿	艹高
竿	干
幡	巾禾丷田
诡	讠⺈厂㔾
颅	⺊尸页
拂	扌弓
沽	氵古
蹈	爫臼
馈	饣贝
蚝	虫毛
哨	口月
耽	耳冖儿
琅	王丶彐
蜥	虫木斤
麓	木木鹿
妄	亡女
茱	艹丿未
肆	镸彐二丨
萃	艹亠人十
剔	日勿刂
稚	禾隹
蛾	虫丿扌戈
尉	尸示寸
禽	人㐫禸
敞	尚攵
刁	乙一
凿	业丷干凵
绥	纟爫女
堕	阝月土
泓	氵弓厶
佣	亻用
隅	阝日⽱
芷	艹止
啪	口扌白
崭	山车斤
菅	艹宀㠯
苓	艹亽龴
驼	马宀匕
笙	生
羚	亽龴
鞠	革勹米
侣	亻吕
髋	骨宀艹儿
旱	日干
梧	木五口
钳	钅甘
豉	豆十又
憾	忄戌口心
凳	癶豆几
槛	木皿
陡	阝走
隧	阝丷豕辶
秃	禾几
瘀	疒方人⺀
溯	氵屰月
疹	疒人彡
隙	阝小日小
蝇	虫口电
钝	钅屯
杞	木己
疤	疒巴
赁	亻丿士贝
妨	女方
颌	亼口页
褒	衣亻口木
缤	纟宀丘八
擒	扌人㐫禸
歉	丷一彐欠
桨	丬夕木
窟	穴尸屮凵
钊	钅刂
嘲	口十早月
脖	月子
缇	纟旦龰
犀	尸氺牛
溴	氵自犬
撮	扌日耳又
靳	革斤
娴	女门木
毗	田匕匕
骄	马丿大
驭	马又
羯	日勹乙
熔	火宀谷
竭	立日勹乙
鳗	鱼日罒又
蕙	艹心
缕	纟米女
玥	王月
蚌	虫三丨
窥	穴夫冂儿
臧	臣
汾	氵八刀
渭	氵田月
掠	扌小
堰	土匚日女
汰	氵大丶
耻	耳止
蝠	虫一口田
壬	丿士
瞿	目目隹
狩	犭宀寸
椿	木日
驳	马乂乂
拯	扌了一
绸	纟⺆土口
璧	尸口立丶
刨	勹巳刂
谍	讠廿乙木
岂	山己
棺	木宀㠯
榄	木儿
昼	尸丶旦
嗖	口臼丨又
粹	米亠人十
廿	廿
雏	⺈彐隹
狸	犭日土
搂	扌米女
尬	尢人
谥	讠皿
孵	卯丶丶子
陇	阝龙
奠	丷西一大
轧	车乙
筐	匚王
拣	扌乙八
桢	木⺊贝
垢	土𠂋
唠	口艹冖力
淤	氵方人⺀
吝	亠乂口
婊	女龶
谅	讠小
噬	口工人
砚	石冂儿
锰	钅子皿
囚	囗人
酵	西一耂子
檬	木艹冖
焚	木木火
褪	衤彐辶
泸	氵⺊尸
苷	艹甘
咦	口大弓
荀	艹勹日
铮	钅⺈彐丨
懋	木矛木心
膨	月壴彡
匣	匚甲
浚	氵厶八夂
嫡	女亠丷古
涧	氵门日
覃	覀早
缀	纟又又又
彝	彑米糸廾
撼	扌戌口心
渚	氵耂日
皋	白大十
睹	目耂日
藓	艹鱼羊
麒	鹿其
洙	氵丿未
睦	目土八土
诛	讠丿未
凛	冫亠回示
筠	土勹冫
霈	⻗氵一巾
绎	纟又二丨
嫣	女一止灬
菩	艹立口
茉	艹末
囤	囗屯
颊	夫丷页
轲	车丁口
冕	曰免
楞	木罒方
炯	火冂口
翊	立羽
戟	十早戈
毯	毛火火
瑰	王白儿厶
茫	艹氵亡
柑	木甘
蝎	虫日勹乙
褶	衤羽白
豚	月豕
筷	忄人
拙	扌屮凵
酰	西一⺧儿
隼	隹十
墟	土虍业
妾	立女
澈	氵月攵
鳌	龶勹攵鱼
颤	亠回旦页
撬	扌毛毛毛
毋	乙乙
璞	王业丶
圩	土于
痔	疒土寸
谏	讠木
仨	亻三
